id_transaccion,fecha_hora,sucursal,canal,cliente_id,segmento_cliente,edad_cliente,antiguedad_meses,categoria,producto_id,precio_unitario,cantidad,descuento_pct,campania,medio_pago,dias_entrega,satisfaccion,devolucion,monto_venta,monto_reembolso
TX012063,2025-01-01 00:21:31,Las Condes,Web,C05507,Estándar,42,4,Vestuario,VES06,97230,1,13,Sin campaña,Débito,4,3.4,0,84590,0
TX000844,2025-01-01 00:33:06,Maipú,Web,C03523,Estándar,32,83,Belleza,BEL01,5130,3,5,Sin campaña,Crédito,3,3.6,0,14620,0
TX024646,2025-01-01 00:46:51,Las Condes,Web,C05690,Estándar,44,37,Tecnología,TEC03,84660,3,22,Sin campaña,Débito,2,3.7,0,198104,0
TX000799,2025-01-01 01:20:28,Centro,App,C01214,Estándar,25,27,Hogar,HOG01,6870,4,0,Sin campaña,Billetera digital,4,3.1,0,27480,0
TX019764,2025-01-01 01:45:13,Centro,Web,C03692,Estándar,56,13,Hogar,HOG06,149760,2,9,Sin campaña,Crédito,3,3.2,0,272563,0
TX000404,2025-01-01 02:03:05,Providencia,App,C05878,Estándar,40,25,Tecnología,TEC05,237020,2,21,Sin campaña,Débito,3,4.0,0,374492,0
TX015517,2025-01-01 02:03:29,La Florida,Web,C02357,Estándar,37,45,Alimentos,ALI03,5910,1,1,Sin campaña,Débito,4,3.4,0,5851,0
TX005095,2025-01-01 02:46:06,Maipú,App,C02495,Estándar,30,17,Tecnología,TEC03,78080,2,18,Sin campaña,Débito,1,4.2,0,128051,0
TX017266,2025-01-01 03:04:41,Las Condes,App,C00897,Estándar,33,78,Vestuario,VES03,24940,1,12,Sin campaña,Crédito,4,2.3,1,21947,21947
TX009392,2025-01-01 03:33:27,Maipú,App,C02078,Premium,40,15,Alimentos,ALI02,3470,2,7,Sin campaña,Crédito,3,3.3,0,6454,0
TX004674,2025-01-01 04:18:29,La Florida,Web,C05048,Estándar,41,30,Tecnología,TEC03,82900,1,10,Sin campaña,Crédito,1,2.9,0,74610,0
TX012956,2025-01-01 05:04:16,Ñuñoa,Web,C04866,Convenio Empresa,33,40,Vestuario,VES01,8070,1,22,Sin campaña,Crédito,2,3.0,0,6295,0
TX000313,2025-01-01 05:34:26,Centro,App,C06129,Estándar,62,10,Vestuario,VES05,61110,1,13,Sin campaña,Débito,2,3.1,0,53166,0
